Clabel,conductor,ainvs,rank,torsion
88208c1,88208,"[0,1,0,-17448,881332]",3,1
88264h1,88264,"[0,0,0,-199,1546]",3,1
88337a1,88337,"[1,0,0,-15,16]",3,1
88362e1,88362,"[1,-1,0,-108,324]",3,1
88460a1,88460,"[0,1,0,-310,2025]",3,1
88492a1,88492,"[0,1,0,-49,120]",3,1
88502f1,88502,"[1,0,1,-838,9252]",3,2
88502f2,88502,"[1,0,1,-1028,4692]",3,2
88582e1,88582,"[1,1,0,-766,7904]",3,1
88705c1,88705,"[1,-1,1,-597,20946]",3,1
88754a1,88754,"[1,-1,0,-10,11412]",3,1
88765d1,88765,"[1,-1,1,18,6]",3,1
88883a1,88883,"[1,-1,1,0,14]",3,1
88975c1,88975,"[0,-1,1,-3,33]",3,1
89098a1,89098,"[1,1,0,-83,301]",3,1
89294a1,89294,"[1,-1,1,-84,567]",3,1
89421b1,89421,"[1,1,1,-1198,15164]",3,1
89428b1,89428,"[0,1,0,47,240]",3,1
89475a1,89475,"[1,1,1,37,1406]",3,1
89574a1,89574,"[1,1,0,-31,85]",3,1
89576d1,89576,"[0,-1,0,-15,16]",3,1
89687a1,89687,"[1,0,0,-14,13]",3,1
89738b1,89738,"[1,-1,0,-31,61]",3,1
89992a1,89992,"[0,0,0,-31,226]",3,1
90297b1,90297,"[0,0,1,-114,412]",3,1
90312i1,90312,"[0,1,0,-620,6864]",3,1
90459o1,90459,"[0,0,1,-1587,72076]",3,1
90568e1,90568,"[0,1,0,-36,-32]",3,1
90644b1,90644,"[0,0,0,56,1]",3,1
90704c1,90704,"[0,1,0,-77,-281]",3,1
90840a1,90840,"[0,-1,0,-121,445]",3,1
90935a1,90935,"[0,1,1,34,426]",3,1
90953a1,90953,"[1,-1,1,-261,-5418]",3,1
91031c1,91031,"[0,1,1,-9210,271050]",3,1
91055a1,91055,"[0,1,1,-46,110]",3,1
91248s1,91248,"[0,-1,0,-112,256]",3,1
91270c1,91270,"[1,0,1,-173,1428]",3,1
91341d1,91341,"[0,0,1,-129,562]",3,1
91388b1,91388,"[0,1,0,54,793]",3,1
91506a1,91506,"[1,1,0,-481,3865]",3,1
91607a1,91607,"[1,0,0,-19,-30]",3,1
91744d1,91744,"[0,1,0,-1281,17263]",3,1
91775c1,91775,"[0,1,1,-38,84]",3,1
91958a1,91958,"[1,1,0,-69,-179]",3,1
91963a1,91963,"[0,0,1,-11,20]",3,1
91985b1,91985,"[0,0,1,-367,2580]",3,1
92096d1,92096,"[0,-1,0,-41,169]",3,1
92144a1,92144,"[0,1,0,-1056,12916]",3,1
92437a1,92437,"[0,-1,1,-24,-36]",3,1
92437b1,92437,"[0,-1,1,-2158,38530]",3,1
92480bb1,92480,"[0,1,0,-521,4279]",3,2
92480bb2,92480,"[0,1,0,159,15295]",3,2
92553b1,92553,"[1,1,1,-22,-40]",3,1
92601a1,92601,"[0,0,1,33,216]",3,1
92651a1,92651,"[0,-1,1,-14,30]",3,1
92869d1,92869,"[0,-1,1,-574,5440]",3,1
93087a1,93087,"[0,0,1,-18,-15]",3,1
93376c1,93376,"[0,1,0,-129,415]",3,1
93508b1,93508,"[0,0,0,-61,181]",3,1
93545e1,93545,"[0,0,1,-67,132]",3,1
93783a1,93783,"[1,0,0,-6002,180009]",3,1
93814a1,93814,"[1,1,0,-196,980]",3,1
93904a1,93904,"[0,1,0,-104,340]",3,1
94064a1,94064,"[0,0,0,-187,970]",3,1
94259d1,94259,"[0,-1,1,-46262,3848910]",3,1
94281b1,94281,"[0,-1,1,-154,3234]",3,1
94659a1,94659,"[0,-1,1,-63,380]",3,1
94715b1,94715,"[0,0,1,-268,-1527]",3,1
94739a1,94739,"[1,0,1,-4530,116957]",3,1
95134d1,95134,"[1,0,0,-4145,105961]",3,1
95227g1,95227,"[1,1,1,-184,870]",3,1
95323b1,95323,"[1,-1,1,-532,4600]",3,1
95887b1,95887,"[0,1,1,-100,350]",3,1
95954c1,95954,"[1,1,0,-190,932]",3,1
96153a1,96153,"[1,1,1,-172,800]",3,1
96163a1,96163,"[0,-1,1,-274,1666]",3,1
96266d1,96266,"[1,0,0,-145,681]",3,1
96376b1,96376,"[0,0,0,-367,2770]",3,1
96466b1,96466,"[1,0,1,-12,20]",3,1
96544a1,96544,"[0,-1,0,-362,2776]",3,1
96873a1,96873,"[1,1,1,-1422,20040]",3,1
96937a1,96937,"[1,1,1,-170,996]",3,1
97111a1,97111,"[1,-1,1,-541,4982]",3,1
97345d1,97345,"[1,-1,1,-927,10926]",3,1
97389a1,97389,"[0,0,1,-93,342]",3,1
